Nombre completo,¿Qué prefieres hacer en tus ratos libres?,¿Cómo te ves a ti mismo? Como alguien...,¿En 10 años te ves trabajando con...?,Quisiera que mi espacio laboral fuera...,"Si pudiera elegir, en mi trabajo tendría que...",Quisiera un trabajo:,En mi trabajo me gustaría que mi relación con los demás fuera...,Trabajaría en un lugar en el que las actividades cotidianas estuvieran relacionadas con...,Me gustaría un trabajo que se centrara en...,"Cuando trabaje, me gustaría destacarme por...",En mi trabajo me gustaría responder por:,¿Cuál sería el tema principal de tu trabajo?,¿En cuál de estos sectores te gustaría trabajar?,¿Cuáles son las materias que te gustan MÁS?,¿Cuáles son las materias que te gustan MENOS?,¿En qué sientes que te va mejor? En temas relacionados con...,¿En qué materias te va MEJOR?,¿En qué materias NO TE VA BIEN?
Amor Leiva Rosell,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos","Sociable. Disfruto compartir con otros, Hábil. Soy bueno para el trabajo manual","Herramientas que me permitan construir y crear, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Sistematizar y procesar información o números","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mis resultados,"El desarrollo y el funcionamiento de objetos, El diseño, música, baile, teatro y cocina, El aprendizaje de niños, jóvenes y adultos","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Matemáticas, Física, Biología y química","Ciencias sociales, Lengua castellana, Educación artística"
Lupe Sol Torre Estevez,"Escuchar y conversas con mis amigos, Practicar deporte o construir cosas","Sociable. Disfruto compartir con otros, Curioso. Me gusta entender el porqué de las cosas","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música, Experimentar, investigar y producir conocimiento","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Actuar por mi cuenta sin necesidad de que me supervisen",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El desarrollo y el funcionamiento de objetos, Los recursos naturales, el campo y los animales",Investigación en ciencias básicas y aplicadas,"Ciencias sociales, Lengua castellana, Educación física","Matemáticas, Física, Biología y química","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Yaiza Escalona Benito,Buscar y proponer nuevos planes,"Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Enseñar, aconsejar o cuidar de personas","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Actuar por mi cuenta sin necesidad de que me supervisen","Mi trabajo, el de mi equipo y el impacto que genere","El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El bienestar económico de las personas y paises","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Ciencias sociales, Lengua castellana, Educación artística","Física, Ciencias económicas y políticas, Matemáticas","Las palabras, escritas o habladas, esa es tu forma de expresarte, Las personas, el relacionamiento y comunicación con otros","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Biología y química"
Eva Pla Marquez,"Hacer actividades artisticas, Leer o hacer experimentos","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Sistematizar y procesar información o números,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar",Actuar por mi cuenta sin necesidad de que me supervisen,"Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento","Desarrollo humano y social, Salud, Administración pública","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Ciencias sociales","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Biología y química"
Borja de Santamaria,"Escuchar y conversas con mis amigos, Ordenar mi espacio y mis actividades","Curioso. Me gusta entender el porqué de las cosas, Imaginativo. Me expreso creativamente","Personas, enseñando o cuidando de ellas","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música, Sistematizar y procesar información o números","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales","Investigación en ciencias básicas y aplicadas, Cultural y artístico","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Educación física, Lengua castellana","Física, Matemáticas, Biología y química"
Teófila Alarcón Checa,"Escuchar y conversas con mis amigos, Practicar deporte o construir cosas","Sociable. Disfruto compartir con otros, Hábil. Soy bueno para el trabajo manual","Personas, enseñando o cuidando de ellas, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros, Comunicarme con los demás, escuchar sus ideas y transmitir las mias","Mi trabajo, el de mi equipo y el impacto que genere","El aprendizaje de niños, jóvenes y adultos, El diseño, música, baile, teatro y cocina, La naturaleza, el universo y su funcionamiento","Educación, Desarrollo humano y social, Minero y energético","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación física","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación Física"
Samu Cal Matas,"Escuchar y conversas con mis amigos, Hacer actividades artisticas","Sociable. Disfruto compartir con otros, Hábil. Soy bueno para el trabajo manual","Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El aprendizaje de niños, jóvenes y adultos, Los recursos naturales, el campo y los animales, El ser humano y su relación con la sociedad",Investigación en ciencias básicas y aplicadas,"Ciencias sociales, Lengua castellana, Educación artística","Matemáticas, Física, Ciencias económicas y políticas","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación artística"
Chita Gallego Palacios,"Hacer actividades artisticas, Buscar y proponer nuevos planes","Imaginativo. Me expreso creativamente, Curioso. Me gusta entender el porqué de las cosas","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Dirigir y coordinar gente para desarrollar proyectos,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Trabajar en equipo, tener en cuenta las ideas de los otros",Mis resultados,"El diseño, música, baile, teatro y cocina, El bienestar económico de las personas y paises, La naturaleza, el universo y su funcionamiento","Financiero, Industrial manufacturero","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Ciencias sociales","La creación y representación de objetos e imágenes, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Educación Física"
Luís Figueras Bermejo,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Sociable. Disfruto compartir con otros","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Crear por medio del diseño, dibujo o música","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"La naturaleza, el universo y su funcionamiento","Servicios a la comunidad, recreación y bienestar, Construcción, Educación","Matemáticas, Educación artística, Física","Lengua castellana, Biología y química, Educación física","La creación y representación de objetos e imágenes, Las personas, el relacionamiento y comunicación con otros","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Adriana Machado Múgica,"Leer o hacer experimentos, Escuchar y conversas con mis amigos",Curioso. Me gusta entender el porqué de las cosas,"Información y datos, para clasificar y analizar, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias","Mi trabajo, el de mi equipo y el impacto que genere","Los recursos naturales, el campo y los animales, El ser humano y su relación con la sociedad",Investigación en ciencias básicas y aplicadas,"Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Física, Biología y química, Matemáticas","Educación artística, Educación Física, Ciencias sociales"
